title,artist
Chicken Dance,The Emeralds
Ain’t Nobody Here but Us Chickens,Louis Jordan & His Tympany Five
Funky Chicken,Rufus Thomas
Do the Funky Chicken,Rufus Thomas
Chicken Song,Spitting Image
Chicken Truck,John Anderson
Rubber Chicken,George Clinton
Chick Chick,Wang Rong Rollin’
Chicken Fried,Zac Brown Band
Chicken on the Raft,Cyril Tawney
Egg Man,Beastie Boys
Sunny Side of the Street,Louis Armstrong
Sunny Side Up,Faith Evans
Eggs and Sausage,Tom Waits
The Egg,Sheryl Crow
Over Easy,Goo Goo Dolls
Walking on Eggshells,The Rolling Stones
Golden Egg,The Residents
Scrambled Eggs (Yesterday draft),Paul McCartney
Egg Race,Ivor Cutler
Old MacDonald Had a Farm,Traditional
Down on the Farm,Tim McGraw
Thank God I’m a Country Boy,John Denver
Chicken Wire,The Felice Brothers
Barnyard Boogie,Louis Jordan
She Thinks My Tractor’s Sexy,Kenny Chesney
Cotton Fields,Creedence Clearwater Revival
Fields of Gold,Sting
Pastures of Plenty,Woody Guthrie
Turkey in the Straw,Traditional
Cluck Old Hen,Traditional Appalachian
Hen Party,Alex Beaton
Rockin’ Robin,Bobby Day
Birdhouse in Your Soul,They Might Be Giants
Free Bird,Lynyrd Skynyrd
Bluebird,Paul McCartney & Wings
Blackbird,The Beatles
Three Little Birds,Bob Marley
I’m Like a Bird,Nelly Furtado
Surfin’ Bird,The Trashmen
Baby Bird,Paul McCartney
Little Wing,Jimi Hendrix
Hatching Time,Yoshida Brothers
Tiny Bird,Sufjan Stevens
Hatchlings,Michael Hedges
Feathered Friends,Yes
Little Fluffy Clouds,The Orb
Little White Duck,Burl Ives
Fly Little Bird,Pete Seeger
Young at Heart,Frank Sinatra
Chicken Noodle Soup,J-Hope & Becky G
Chicken and Biscuits,Colt Ford
Fried Chicken,Nas
Hot Wings,Will.i.am (from Rio)
Chicken Pot Pie,“Weird Al” Yankovic
Chicken Gravy,Bobby Rush
Chicken Gumbo,Wynton Marsalis
Roast Chicken,Desmond Dekker
Southern Fried Chicken,Bill Deal & the Rhondels
Chicken Soup with Rice,Carole King
Cluck You,The Dead Milkmen
Get Up Offa That Thing,James Brown
Shake a Tail Feather,The Blues Brothers
Let’s Groove,"Earth, Wind & Fire"
Can’t Stop the Feeling!,Justin Timberlake
Uptown Funk,Mark Ronson ft. Bruno Mars
Twist and Shout,The Beatles
Shake It Off,Taylor Swift
Happy,Pharrell Williams
"Don’t Worry, Be Happy",Bobby McFerrin
Spread Your Wings,Queen
Fly Like an Eagle,Steve Miller Band
Bird on a Wire,Leonard Cohen
Birds,Imagine Dragons
Ornithology,Charlie Parker
Wild Goose,Elton John
Dove,Prince
Wings,Birdy
Big Bird,Eddie Floyd
Paper Wings,Rise Against
Kung Fu Fighting,Carl Douglas
Stayin’ Alive,Bee Gees
Another One Bites the Dust,Queen
Peaches,The Presidents of the USA
Shake Your Tail,KC and the Sunshine Band
Bawk Bawk,Parry Gripp
Bird Dance Beat,The Trashmen
Chicken Rhumba,Xavier Cugat
Crazy Little Thing Called Love,Queen
Ain’t No Mountain High Enough,Marvin Gaye & Tammi Terrell
Eye of the Tiger,Survivor
I Will Survive,Gloria Gaynor
Born to Be Wild,Steppenwolf
Don’t Stop Me Now,Queen
Walking on Sunshine,Katrina and the Waves
Rooster,Alice in Chains
Cluck Around the Clock,Bill Haley parody
Jump,Van Halen
We Are the Champions,Queen
The Chicken,Jaco Pastorius
